,home_team,away_team,ht_vegas_line,ht_point_differential
0,was,chi,-6.0,17.57332748434189
1,buf,jax,-6.0,22.669640775833034
2,det,car,-10.0,7.125347552353236
3,atl,htx,-2.0,7.44859248262554
4,nwe,nor,-1.0,7.973429719991892
5,mia,nyg,-11.0,19.163306601224136
6,clt,oti,3.0,-0.5303724192175858
7,pit,rav,4.0,5.78135440684376
8,crd,cin,3.0,16.882562123991335
9,ram,phi,4.0,8.560142355474994
10,min,kan,4.0,5.051903903610248
11,den,nyj,-1.0,5.634647846174816
12,sfo,dal,-4.0,10.386422691145544
13,rai,gnb,1.0,-0.5026244008348426
