,ht_pts_diff,ht_vegas_line,model_pred
0,14,-9.5,12.3125
1,-13,-1.0,-2.0625
2,10,-6.5,24.6875
3,-4,3.0,-1.5625
4,-4,-2.5,-8.4375
5,32,-7.0,8.6875
6,7,7.0,-12.9375
7,-9,-1.0,-11.875
8,10,-7.5,-4.75
9,10,5.5,8.1875
10,-3,2.5,-2.875
11,-4,-7.0,-6.0625
12,11,-4.0,5.125
13,3,-1.0,9.9375
14,-10,6.0,-7.6875
15,-2,3.5,-10.4375
16,5,-6.0,5.125
17,1,-3.0,-2.1875
18,-3,5.5,-2.1875
19,14,-7.5,12.3125
20,4,-4.5,4.4375
21,17,-3.5,7.5625
22,5,-6.0,18.5625
23,21,-7.0,18.375
24,3,-7.0,16.3125
25,-18,7.0,-11.25
26,-18,-2.0,-6.6875
27,15,-7.5,1.9375
28,-17,7.5,-12.875
29,-3,8.5,-8.1875
30,5,-4.0,4.3125
31,10,4.0,-13.375
32,-18,-2.5,-10.9375
33,-4,-2.5,0.8125
34,3,-1.5,6.3125
35,0,-5.5,0.125
36,14,-7.5,0.625
37,7,-3.5,15.0625
38,-1,3.0,-8.0625
39,16,-7.0,-1.1875
40,-27,3.0,-5.1875
41,-5,-6.0,0.1875
42,29,-12.5,23.1875
43,-3,-4.5,10.6875
44,7,-5.5,6.5625
45,-18,6.0,-11.0
46,-7,-3.5,2.0625
47,-14,-3.5,3.8125
48,-9,-1.0,-1.75
49,10,3.0,-8.5625
50,-8,3.5,-3.75
51,8,-1.0,8.4375
52,-11,-3.5,-5.6875
53,-6,3.0,-18.5625
54,-8,-3.5,-4.0
55,-8,4.5,0.8125
56,-14,14.5,-7.0625
57,7,-7.5,13.3125
58,8,-13.5,8.8125
59,-7,3.0,-9.3125
60,-5,-8.5,6.6875
61,16,-11.0,8.4375
62,14,-5.0,11.875
63,1,3.5,-3.6875
64,-7,-2.5,2.5625
65,24,-12.5,14.75
66,-20,7.0,-17.4375
67,16,-6.5,9.625
68,-8,-11.0,8.0625
69,9,-7.5,15.9375
70,-20,7.0,-1.1875
71,-26,-8.5,-2.5625
72,9,-1.0,-4.0625
73,3,-7.5,-0.5625
74,1,-6.5,3.6875
75,3,-7.0,12.5
76,26,3.0,-2.5
77,-6,-7.0,6.5625
78,-18,3.0,0.0625
79,-17,-3.5,-1.4375
80,-7,-2.0,-1.9375
81,4,-7.5,11.9375
82,31,-3.0,8.4375
83,6,-4.0,8.6875
84,1,-2.0,-4.875
85,-2,10.5,-12.8125
86,24,-10.0,20.0625
87,28,3.0,3.8125
88,8,2.5,-1.9375
89,-9,5.5,2.6875
90,-28,-1.0,-10.3125
91,1,-5.0,-1.1875
92,-15,2.5,-11.53125
93,-3,-1.0,-0.125
94,-1,-1.0,8.8125
95,-8,9.5,-16.5625
96,3,-7.0,11.9375
97,-3,4.5,-7.25
98,22,1.0,5.5625
99,-25,3.5,-8.4375
100,-27,7.0,-12.6875
101,-27,-3.0,-2.5
102,10,-8.0,11.8125
103,3,3.5,-0.8125
104,14,-6.5,5.9375
105,-8,-1.5,0.5625
106,-20,3.5,-13.1875
107,-6,-5.5,9.875
108,11,3.5,1.5625
109,-4,-4.0,6.9375
110,3,-4.0,9.4375
111,11,7.5,-9.4375
112,-10,-1.0,1.1875
113,26,-20.0,23.5625
114,1,3.0,-3.625
115,10,-1.0,2.9375
116,-3,5.5,-9.25
117,14,-10.5,0.0625
118,-2,13.0,-9.5625
119,-17,6.0,-7.125
120,-14,-1.0,-1.5625
121,14,-3.0,3.8125
122,-2,7.0,-3.0
123,7,-4.5,9.6875
124,10,3.0,5.9375
125,2,-10.0,9.4375
126,7,-6.5,3.875
127,-3,-3.0,4.8125
128,-5,1.0,-1.0625
129,-3,-6.0,-1.0625
130,-5,14.0,-7.0625
131,-35,-3.0,0.5625
132,-3,9.0,-9.5625
133,-17,1.0,-1.125
134,3,-4.5,5.375
135,3,-2.5,-8.375
136,4,-13.5,23.0
137,-23,6.0,-6.9375
138,10,5.0,1.1875
139,25,-3.5,5.6875
140,8,-1.5,6.6875
141,2,-3.0,-4.3125
142,26,-6.5,15.0625
143,14,-9.5,9.0625
144,7,-3.0,3.0625
145,6,7.0,-11.5
146,-6,3.5,1.4375
147,7,-3.0,-3.0625
148,15,-3.5,11.6875
149,11,-2.0,5.9375
150,5,-2.5,6.6875
151,7,2.5,-3.1875
152,-24,11.0,-11.75
153,-6,-6.0,6.3125
154,20,3.0,6.5625
155,7,4.0,-8.9375
156,6,-10.0,14.5625
157,3,-1.5,-0.0625
158,-3,-7.0,-0.6875
159,-4,7.5,-9.3125
160,-3,-4.0,7.9375
161,-16,3.0,-3.125
162,-25,-2.5,-3.5625
163,37,3.5,1.4375
164,10,-4.5,11.6875
165,-2,6.5,-2.0625
166,-2,7.5,-9.6875
167,-19,-3.0,3.4375
168,3,1.0,-8.5625
169,-17,7.5,-13.125
170,1,-3.0,-2.4375
171,-28,17.0,-16.0
172,-3,-5.0,5.4375
173,-3,3.5,4.3125
174,16,-7.5,9.9375
175,-6,6.5,-6.9375
176,5,-10.0,0.4375
177,-5,2.5,-9.3125
178,-4,-3.0,9.1875
