,home_team,away_team,ht_vegas_line,ht_point_differential
0,rav,cin,-4.0,8.415365189728984
1,det,chi,-8.0,7.549527289115739
2,htx,crd,-5.0,7.486096284603707
3,car,dal,11.0,-7.573933567053153
4,was,nyg,-9.0,5.32113264347635
5,jax,oti,-7.0,4.361976187889316
6,cle,pit,-1.0,7.636964518302448
7,mia,rai,-14.0,3.314834536308841
8,gnb,sdg,3.0,-0.4180368222142512
9,sfo,tam,-12.0,7.820003333409323
10,buf,nyj,-7.0,8.396446089462044
11,ram,sea,1.0,-0.779073256319391
12,den,min,-3.0,-3.202062137229772
13,kan,phi,-3.0,3.883786370600481
