,home_team,away_team,ht_vegas_line,model_pred,ht_pts_diff
0,pit,oti,-3.0,0.7209920160824548,4
1,kan,mia,-1.0,0.972429002516114,7
2,nor,chi,-9.0,5.301914487773974,27
3,cle,crd,-8.0,5.650718731166018,17
4,atl,min,-5.0,1.5873205087297897,2
5,gnb,ram,-3.0,1.5703275169878328,-3
6,rav,sea,-6.0,4.59814187264071,7
7,htx,tam,-3.0,7.365450556552288,-3
8,nwe,was,-4.0,-0.1464861107286132,34
9,car,clt,3.0,-0.803098273064403,-14
10,phi,dal,-3.0,3.9218271668236375,5
11,rai,nyg,-2.0,5.88039107187935,24
12,cin,buf,-3.0,-0.1559153481058786,6
13,nyj,sdg,4.0,1.873248210984186,-21
