,home_team,away_team,ht_points_for,ht_yards,ht_plays,ht_yards_per_play,ht_turnovers,ht_fumbles_lost,ht_first_downs,ht_completions,ht_pass_attempts,ht_pass_yards,ht_pass_tds,ht_interceptions,ht_pass_yards_per_attempt,ht_pass_first_downs,ht_rush_attempts,ht_rush_yards,ht_rush_tds,ht_rush_yards_per_attempt,ht_rush_first_downs,ht_penalties,ht_penalty_yards,ht_penalty_first_downs,ht_num_drives,ht_scoring_percentage,ht_turnover_percentage,at_points_for,at_yards,at_plays,at_yards_per_play,at_turnovers,at_fumbles_lost,at_first_downs,at_completions,at_pass_attempts,at_pass_yards,at_pass_tds,at_interceptions,at_pass_yards_per_attempt,at_pass_first_downs,at_rush_attempts,at_rush_yards,at_rush_tds,at_rush_yards_per_attempt,at_rush_first_downs,at_penalties,at_penalty_yards,at_penalty_first_downs,at_num_drives,at_scoring_percentage,at_turnover_percentage,ht_3D_attempts,ht_3D_conversions,ht_3D_conversion_percentage,ht_4D_attempts,ht_4D_conversions,ht_4D_conversion_percentage,ht_red_zone_attempts,ht_red_zone_tds,ht_red_zone_td_percentage,at_3D_attempts,at_3D_conversions,at_3D_conversion_percentage,at_4D_attempts,at_4D_conversions,at_4D_conversion_percentage,at_red_zone_attempts,at_red_zone_tds,at_red_zone_td_percentage,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,chi,car,207.0,2706.5,521.0,5.2,12.5,4.0,162.5,160.0,246.0,1570.5,12.5,8.5,5.85,87.5,251.5,1136.0,10.5,4.5,66.0,53.5,429.5,9.0,91.0,37.45,12.9,191.0,2648.0,547.5,4.800000000000001,10.0,3.5,168.0,213.5,320.0,1904.5,15.0,6.5,5.6,105.0,208.0,743.5,3.0,3.5999999999999996,46.0,47.0,360.5,17.0,91.0,36.0,11.05,106.5,42.5,39.400000000000006,10.5,5.0,53.35,26.5,18.5,69.5,116.0,51.5,44.35,13.5,6.0,45.6,24.5,16.0,63.7,16,13,29,3,-3.0
1,nwe,clt,188.5,2925.0,588.0,4.95,14.0,5.0,168.5,205.0,321.0,1969.0,10.0,9.0,5.75,94.0,245.5,956.0,10.0,3.85,59.5,52.5,421.5,15.0,109.0,31.700000000000003,12.9,230.0,3049.0,598.5,5.1,11.5,6.0,175.0,205.0,318.0,2040.5,11.5,5.5,6.0,105.0,260.5,1008.5,10.0,3.9,54.5,56.0,391.0,15.5,106.0,36.849999999999994,10.3,125.0,44.5,35.5,14.5,6.5,44.3,22.5,14.5,64.85,128.0,50.5,39.45,13.0,6.0,48.75,30.5,15.5,51.2,6,10,16,-4,2.0
2,rav,cle,189.0,2599.5,507.0,5.0,12.5,7.5,144.0,152.0,237.0,1519.0,9.0,5.0,5.75,71.0,246.0,1080.5,12.0,4.25,59.5,54.0,473.0,13.5,105.5,30.9,11.85,152.5,2494.5,576.0,4.35,15.0,5.0,151.0,177.5,303.5,1504.5,6.5,10.0,4.55,79.5,243.0,990.0,6.0,4.05,53.0,52.0,431.5,18.5,105.5,29.85,13.25,111.5,40.5,35.7,6.0,3.0,51.45,29.0,19.0,65.85,127.5,42.5,33.25,13.0,5.0,40.65,21.5,10.5,48.45,27,30,57,-3,-6.0
3,pit,gnb,146.0,2394.5,499.5,4.800000000000001,8.0,2.5,143.0,162.5,258.0,1536.5,7.5,5.5,5.550000000000001,77.0,222.0,858.0,5.5,3.85,54.0,49.0,447.0,12.0,88.5,31.85,8.5,161.5,2709.0,512.0,5.25,13.0,5.0,154.5,162.0,271.5,1775.0,11.0,8.0,6.0,89.5,218.5,934.0,5.0,4.25,47.5,57.0,476.5,17.5,89.0,34.25,14.55,112.5,42.5,37.75,10.5,5.5,46.45,20.5,9.5,46.45,109.0,44.5,40.85,12.5,5.5,41.65,24.5,12.0,48.7,31,33,64,-2,-4.0
4,cin,htx,160.0,2507.5,506.0,4.95,8.0,4.0,157.0,200.0,292.0,1816.0,9.5,4.0,5.9,94.5,196.5,691.5,6.5,3.55,48.5,46.0,374.5,14.0,85.5,34.5,8.8,174.5,2860.5,503.0,5.7,10.0,4.0,164.0,170.5,271.5,1993.5,12.5,6.0,6.85,101.5,211.5,867.0,5.0,4.15,48.5,47.0,411.0,14.0,87.5,38.85,11.35,107.0,42.0,39.15,8.5,3.0,35.4,25.0,14.0,56.8,103.5,45.0,43.55,8.0,3.5,42.1,28.5,14.0,49.05,23,19,42,4,-7.0
5,min,nor,188.5,2966.0,561.0,5.3,17.5,9.0,171.5,209.5,327.0,2094.5,16.0,8.5,6.0,106.5,214.5,871.5,3.0,4.050000000000001,42.5,52.0,396.5,22.5,100.0,34.2,16.55,192.5,3023.0,604.0,5.0,11.0,5.0,176.5,220.0,325.0,2094.0,11.5,6.0,6.05,105.0,256.5,929.0,7.0,3.65,60.5,61.0,534.5,11.0,100.5,35.4,10.05,121.5,46.0,37.900000000000006,12.5,8.0,61.65,27.5,14.0,51.05,130.0,53.5,41.25,12.5,6.5,51.9,28.0,14.0,51.0,3,34,37,-31,3.0
6,tam,oti,159.0,2561.0,497.5,5.15,6.5,3.5,145.5,178.0,267.0,1789.0,10.0,3.0,6.300000000000001,87.5,213.5,772.0,4.0,3.5999999999999996,40.5,55.0,429.5,17.5,84.0,39.349999999999994,7.1,157.5,2697.0,492.0,5.5,12.0,5.0,154.0,175.0,266.5,1867.5,10.0,7.0,6.35,89.5,200.5,829.5,5.0,4.1,46.0,51.0,425.5,18.5,84.0,38.7,13.6,108.5,42.5,39.15,8.0,5.5,68.75,26.0,11.0,43.35,104.5,42.5,40.25,7.5,4.5,59.8,26.0,9.0,34.6,20,6,26,14,0.0
7,jax,sfo,166.5,2625.5,515.0,5.1,13.0,5.5,157.5,200.5,293.5,1831.0,9.5,7.5,5.85,90.5,203.0,794.5,6.5,3.95,49.0,45.5,380.0,18.0,89.5,35.7,14.1,187.0,2877.5,504.0,5.75,13.5,5.5,164.5,182.0,279.5,2026.5,11.5,8.0,7.05,99.0,209.5,851.0,9.5,4.0,53.0,54.0,485.0,12.5,91.0,35.55,14.1,104.0,39.5,38.05,10.5,4.5,43.2,19.5,10.5,54.35,97.5,38.5,40.3,13.0,6.5,60.25,29.5,17.0,56.849999999999994,27,19,46,8,3.0
8,crd,atl,171.5,2671.5,555.0,4.800000000000001,10.5,5.0,160.5,181.5,289.0,1619.0,12.5,5.5,5.2,90.5,244.5,1052.5,4.5,4.3,51.5,57.0,481.0,18.5,102.0,31.8,10.35,203.0,3135.5,590.5,5.300000000000001,13.0,7.0,191.0,193.5,290.5,1996.5,11.0,6.0,6.3,106.0,274.0,1139.0,9.5,4.15,70.5,55.5,482.0,14.5,100.5,39.0,11.8,116.0,41.5,35.75,13.0,4.0,33.95,23.0,11.0,48.2,119.0,50.0,42.15,9.5,4.0,41.5,34.5,19.0,54.25,38,41,79,-3,2.0
9,sdg,det,183.0,2551.5,488.5,5.199999999999999,8.0,2.5,153.5,181.0,282.0,1840.0,12.5,5.5,6.05,97.0,186.0,711.5,7.0,3.8,39.0,42.5,370.0,17.5,87.0,36.2,9.2,187.0,3065.5,546.5,5.65,12.5,7.0,179.0,207.5,304.5,2181.0,12.0,5.5,6.65,110.5,218.5,884.5,9.5,4.0,52.0,53.0,443.5,16.5,89.5,36.9,13.4,100.0,37.5,37.0,11.5,6.0,51.9,26.0,17.5,67.30000000000001,107.5,40.5,37.5,17.5,9.5,54.1,28.5,14.5,50.7,25,23,48,2,3.0
