,home_team,away_team,ht_points_for,ht_yards,ht_plays,ht_yards_per_play,ht_turnovers,ht_fumbles_lost,ht_first_downs,ht_completions,ht_pass_attempts,ht_pass_yards,ht_pass_tds,ht_interceptions,ht_pass_yards_per_attempt,ht_pass_first_downs,ht_rush_attempts,ht_rush_yards,ht_rush_tds,ht_rush_yards_per_attempt,ht_rush_first_downs,ht_penalties,ht_penalty_yards,ht_penalty_first_downs,ht_num_drives,ht_scoring_percentage,ht_turnover_percentage,at_points_for,at_yards,at_plays,at_yards_per_play,at_turnovers,at_fumbles_lost,at_first_downs,at_completions,at_pass_attempts,at_pass_yards,at_pass_tds,at_interceptions,at_pass_yards_per_attempt,at_pass_first_downs,at_rush_attempts,at_rush_yards,at_rush_tds,at_rush_yards_per_attempt,at_rush_first_downs,at_penalties,at_penalty_yards,at_penalty_first_downs,at_num_drives,at_scoring_percentage,at_turnover_percentage,ht_3D_attempts,ht_3D_conversions,ht_3D_conversion_percentage,ht_4D_attempts,ht_4D_conversions,ht_4D_conversion_percentage,ht_red_zone_attempts,ht_red_zone_tds,ht_red_zone_td_percentage,at_3D_attempts,at_3D_conversions,at_3D_conversion_percentage,at_4D_attempts,at_4D_conversions,at_4D_conversion_percentage,at_red_zone_attempts,at_red_zone_tds,at_red_zone_td_percentage
0,rav,cin,231.0,3541.5,600.0,5.9,16.0,7.5,203.0,194.5,293.0,2154.0,11.0,8.5,6.800000000000001,103.5,283.5,1387.5,14.0,4.9,80.0,52.5,459.5,19.5,108.0,38.75,15.0,169.5,2725.5,605.5,4.550000000000001,11.5,3.5,172.5,227.5,360.0,1886.5,10.5,8.0,4.85,103.0,215.0,839.0,4.0,3.8499999999999996,50.5,51.5,413.0,19.0,107.0,30.5,9.25,118.0,51.5,43.6,7.5,2.5,33.95,38.5,22.5,57.849999999999994,134.5,49.5,36.849999999999994,14.0,5.0,36.65,25.0,11.5,46.45
1,det,chi,248.0,3450.0,616.5,5.6,9.5,4.0,193.0,237.5,346.5,2444.5,17.0,5.5,6.75,122.5,255.5,1005.5,9.0,3.85,56.5,46.0,424.0,14.0,102.0,40.7,9.35,203.5,3012.0,585.5,5.15,14.5,4.5,182.0,196.5,313.0,1980.5,14.5,10.0,5.85,106.5,247.0,1031.5,7.5,4.1,61.0,55.0,456.5,14.5,100.5,35.349999999999994,14.3,129.0,55.0,42.6,17.5,10.0,58.0,30.0,18.0,60.400000000000006,118.0,47.0,39.3,15.0,7.5,50.45,28.0,18.5,66.0
2,htx,crd,240.0,3389.5,617.0,5.5,9.0,5.5,205.0,202.5,310.0,2276.5,15.5,3.5,6.8,119.0,283.5,1113.0,9.5,3.9000000000000004,66.5,63.5,546.0,19.5,103.5,43.45,7.75,184.0,3009.5,592.5,5.1,12.5,5.5,180.5,209.5,317.0,1956.0,8.5,7.0,5.75,98.5,252.0,1053.5,10.0,4.15,62.5,64.0,581.0,19.5,104.0,34.8,11.5,125.0,53.5,42.75,10.0,4.5,45.0,38.5,21.5,55.0,125.0,48.5,38.8,13.5,4.5,36.1,28.5,14.5,51.0
3,car,dal,159.0,2478.0,556.0,4.5,12.5,4.0,161.5,184.0,300.5,1580.5,11.5,8.5,4.9,85.5,226.5,897.5,4.5,3.9499999999999997,52.0,59.0,468.5,24.0,97.5,29.25,12.8,255.5,3093.5,573.5,5.4,8.5,2.5,190.0,195.5,285.0,1969.5,14.0,6.0,6.4,106.5,268.5,1124.0,11.5,4.15,66.5,61.5,468.5,17.0,96.5,43.05,7.8,121.5,43.0,35.2,19.0,10.0,52.8,23.0,12.5,54.15,117.5,49.0,41.35,11.0,6.0,59.050000000000004,34.5,21.0,62.3
4,was,nyg,241.5,3515.0,634.0,5.550000000000001,12.5,5.0,200.5,233.5,361.5,2419.5,15.0,7.5,6.3,118.0,241.5,1095.5,11.5,4.550000000000001,62.5,65.5,534.5,20.0,117.0,35.05,10.65,196.0,3200.5,652.0,4.9,13.0,5.5,181.5,212.5,333.0,2049.5,14.0,7.5,5.449999999999999,102.5,279.0,1151.0,5.0,4.15,60.0,59.0,484.5,19.0,116.0,32.2,10.35,128.0,46.5,36.3,12.0,5.5,45.099999999999994,34.0,20.5,60.150000000000006,144.5,49.5,34.45,18.0,10.0,57.15,28.5,13.0,45.05
5,jax,oti,188.0,2997.0,575.0,5.2,12.0,7.5,171.0,201.0,296.5,2020.0,9.5,4.5,6.3,98.5,254.5,977.0,7.0,3.8499999999999996,52.5,51.0,412.5,20.0,100.0,38.3,10.75,172.0,2902.0,556.5,5.2,14.0,4.5,162.0,196.5,317.0,2034.0,10.5,9.5,5.9,95.5,214.0,868.0,6.0,4.05,48.5,57.0,512.0,18.0,100.0,33.2,12.8,121.0,46.0,38.0,10.0,4.5,47.9,27.5,10.5,38.95,118.5,40.0,33.7,17.0,8.0,47.9,29.5,11.5,38.650000000000006
6,cle,pit,198.0,3208.0,629.0,5.1,18.5,7.5,180.0,181.0,314.0,1952.0,10.0,11.0,5.7,94.5,287.5,1256.0,7.5,4.35,66.0,60.5,500.0,19.5,109.0,36.25,16.55,163.0,2368.0,508.5,4.65,11.5,4.0,130.0,152.0,260.5,1491.5,8.0,7.5,5.199999999999999,69.0,223.0,876.5,7.5,3.9,47.5,56.0,480.5,13.5,109.0,25.9,9.9,131.0,49.0,37.55,12.0,5.5,45.85,27.0,13.5,50.0,117.0,36.5,31.0,6.5,3.0,48.75,19.0,11.0,57.5
7,mia,rai,245.0,3630.5,598.0,6.15,12.0,3.5,201.5,216.0,316.0,2287.0,15.5,8.5,6.800000000000001,118.5,261.5,1343.5,13.5,5.25,68.0,58.0,495.0,15.0,102.0,40.75,11.8,198.5,2828.0,579.0,4.9,13.5,4.5,180.0,203.0,306.5,1933.5,11.5,9.0,5.800000000000001,103.5,245.5,894.5,8.0,3.65,57.0,49.0,398.0,19.5,100.0,34.05,13.4,114.0,47.5,41.400000000000006,13.5,6.0,44.25,31.0,21.5,69.15,116.0,40.5,34.95,15.5,8.5,55.25,30.5,18.0,58.85
8,gnb,sdg,197.0,3169.0,574.0,5.5,13.5,5.5,182.5,207.5,325.0,2250.5,14.0,8.0,6.4,113.0,224.0,918.5,8.0,4.1,49.0,64.5,493.0,20.5,98.5,36.05,13.149999999999999,210.5,3017.0,581.5,5.15,7.5,2.5,181.0,198.5,300.0,1965.0,13.0,5.0,6.1,103.0,261.0,1052.0,9.0,4.0,60.5,51.5,491.0,17.5,96.0,40.099999999999994,7.800000000000001,119.5,46.0,38.3,20.0,12.5,62.0,33.0,16.5,49.9,127.0,51.0,40.2,15.0,10.0,66.7,29.0,17.5,60.35
9,sfo,tam,212.5,3318.5,558.5,5.95,12.5,6.0,190.5,199.5,296.0,2320.0,14.0,6.5,7.45,114.0,242.0,998.5,9.5,4.050000000000001,60.5,60.0,523.5,16.0,97.0,40.7,12.95,160.5,2750.5,552.5,5.0,12.5,3.5,163.0,213.5,325.0,2025.0,12.0,9.0,5.9,98.5,208.0,725.5,3.5,3.55,43.0,61.5,486.0,21.5,94.5,33.849999999999994,13.3,110.5,51.0,46.0,7.5,4.0,55.55,32.0,15.5,46.6,118.5,47.0,39.65,9.5,5.5,60.25,22.0,11.0,50.4
