,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,phi,atl,18,12,30,6,-1.0
1,rav,buf,47,3,50,44,-7.5
2,clt,cin,23,34,57,-11,1.0
3,cle,pit,21,21,42,0,3.5
4,nwe,htx,27,20,47,7,-6.0
5,nyg,jax,15,20,35,-5,2.5
6,mia,oti,27,20,47,7,1.0
7,min,sfo,24,16,40,8,-6.0
8,nor,tam,40,48,88,-8,-10.0
9,sdg,kan,28,38,66,-10,-3.5
10,car,dal,16,8,24,8,-2.5
11,crd,was,6,24,30,-18,-2.0
12,den,sea,27,24,51,3,-3.0
13,gnb,chi,24,23,47,1,-6.5
14,det,nyj,17,48,65,-31,-7.0
15,rai,ram,13,33,46,-20,6.5
16,cin,rav,34,23,57,11,-1.0
17,atl,car,31,24,55,7,-5.5
18,buf,sdg,20,31,51,-11,7.5
19,nor,cle,21,18,39,3,-10.0
20,was,clt,9,21,30,-12,-6.0
21,gnb,min,29,29,58,0,2.0
22,oti,htx,20,17,37,3,3.5
23,pit,kan,37,42,79,-5,-4.5
24,nyj,mia,12,20,32,-8,-3.0
25,tam,phi,27,21,48,6,3.0
26,ram,crd,34,0,34,34,-13.5
27,sfo,det,30,27,57,3,-6.0
28,den,rai,20,19,39,1,-5.5
29,jax,nwe,31,20,51,11,2.0
30,dal,nyg,20,13,33,7,-3.0
31,chi,sea,24,17,41,7,-4.5
32,cle,nyj,21,17,38,4,-3.0
33,atl,nor,37,43,80,-6,-1.5
34,min,buf,6,27,33,-21,-16.5
35,car,cin,31,21,52,10,-2.5
36,phi,clt,20,16,36,4,-6.5
37,rav,den,27,14,41,13,-5.5
38,was,gnb,31,17,48,14,2.5
39,htx,nyg,22,27,49,-5,-6.5
40,jax,oti,6,9,15,-3,-10.0
41,kan,sfo,38,27,65,11,-5.5
42,mia,rai,28,20,48,8,-3.0
43,ram,sdg,35,23,58,12,-7.5
44,crd,chi,14,16,30,-2,5.5
45,sea,dal,24,13,37,11,-1.0
46,det,nwe,26,10,36,16,7.0
47,tam,pit,27,30,57,-3,-1.0
48,ram,min,38,31,69,7,-7.5
49,atl,cin,36,37,73,-1,-3.5
50,gnb,buf,22,0,22,22,-8.5
51,chi,tam,48,10,58,38,-3.0
52,clt,htx,34,37,71,-3,1.0
53,dal,det,26,24,50,2,-2.5
54,jax,nyj,31,12,43,19,-7.5
55,nwe,mia,38,7,45,31,-6.5
56,oti,phi,26,23,49,3,3.0
57,rai,cle,45,42,87,3,-2.5
58,crd,sea,17,20,37,-3,3.5
59,nyg,nor,18,33,51,-15,3.5
60,sdg,sfo,29,27,56,2,-10.5
61,pit,rav,14,26,40,-12,-3.0
62,den,kan,23,27,50,-4,3.5
63,nwe,clt,38,24,62,14,-10.5
64,car,nyg,33,31,64,2,-7.0
65,pit,atl,41,17,58,24,-3.5
66,buf,oti,13,12,25,1,6.0
67,cin,mia,27,17,44,10,-6.5
68,cle,rav,12,9,21,3,3.0
69,nyj,den,34,16,50,18,-1.0
70,det,gnb,31,23,54,8,-1.0
71,kan,jax,30,14,44,16,-3.0
72,sdg,rai,26,10,36,16,-5.0
73,sfo,crd,18,28,46,-10,-3.0
74,phi,min,21,23,44,-2,-3.5
75,sea,ram,31,33,64,-2,7.5
76,htx,dal,19,16,35,3,-3.5
77,nor,was,43,19,62,24,-5.5
78,nyg,phi,13,34,47,-21,1.5
79,was,car,23,17,40,6,1.0
80,mia,chi,31,28,59,3,7.5
81,atl,tam,34,29,63,5,-3.0
82,htx,buf,20,13,33,7,-10.5
83,cin,pit,21,28,49,-7,-1.5
84,cle,sdg,14,38,52,-24,-1.0
85,nyj,clt,42,34,76,8,-2.5
86,min,crd,27,17,44,10,-10.0
87,rai,sea,3,27,30,-24,3.0
88,den,ram,20,23,43,-3,7.0
89,dal,jax,40,7,47,33,3.0
90,oti,rav,0,21,21,-21,2.5
91,nwe,kan,43,40,83,3,-3.5
92,gnb,sfo,33,30,63,3,-9.0
93,crd,den,10,45,55,-35,1.0
94,sdg,oti,20,19,39,1,-6.5
95,phi,car,17,21,38,-4,-5.0
96,chi,nwe,31,38,69,-7,1.0
97,mia,det,21,32,53,-11,3.0
98,clt,buf,37,5,42,32,-7.0
99,tam,cle,26,23,49,3,-3.5
100,jax,htx,7,20,27,-13,-3.5
101,nyj,min,17,37,54,-20,3.5
102,rav,nor,23,24,47,-1,-2.5
103,was,dal,20,17,37,3,1.0
104,sfo,ram,10,39,49,-29,8.0
105,kan,cin,45,10,55,35,-6.5
106,atl,nyg,23,20,43,3,-4.5
107,htx,mia,42,23,65,19,-7.5
108,jax,phi,18,24,42,-6,3.5
109,car,rav,36,21,57,15,2.5
110,chi,nyj,24,10,34,14,-8.5
111,det,sea,14,28,42,-14,-3.0
112,cin,tam,37,34,71,3,-3.5
113,pit,cle,33,18,51,15,-8.5
114,kan,den,30,23,53,7,-8.5
115,nyg,was,13,20,33,-7,1.0
116,rai,clt,28,42,70,-14,3.5
117,ram,gnb,29,27,56,2,-7.5
118,crd,sfo,18,15,33,3,2.5
119,min,nor,20,30,50,-10,2.5
120,buf,nwe,6,25,31,-19,13.5
121,sfo,rai,34,3,37,31,1.5
122,was,atl,14,38,52,-24,-1.5
123,car,tam,42,28,70,14,-6.0
124,min,det,24,9,33,15,-4.5
125,rav,pit,16,23,39,-7,-1.5
126,buf,chi,9,41,50,-32,10.5
127,cle,kan,21,37,58,-16,7.5
128,mia,nyj,13,6,19,7,-3.0
129,sea,sdg,17,25,42,-8,-1.0
130,den,htx,17,19,36,-2,-1.0
131,nor,ram,45,35,80,10,1.5
132,nwe,gnb,31,17,48,14,-5.0
133,dal,oti,14,28,42,-14,-4.5
134,pit,car,52,21,73,31,-3.5
135,cle,atl,28,16,44,12,5.5
136,chi,det,34,22,56,12,-7.5
137,cin,nor,14,51,65,-37,6.0
138,clt,jax,29,26,55,3,-3.0
139,kan,crd,26,14,40,12,-16.5
140,tam,was,3,16,19,-13,-3.5
141,nyj,buf,10,41,51,-31,-7.0
142,oti,nwe,34,10,44,24,6.5
143,rai,sdg,6,20,26,-14,10.5
144,gnb,mia,31,12,43,19,-11.0
145,ram,sea,36,31,67,5,-10.0
146,phi,dal,20,27,47,-7,-7.5
147,sfo,nyg,23,27,50,-4,-3.0
148,sea,gnb,27,24,51,3,-3.0
149,atl,dal,19,22,41,-3,-3.5
150,det,car,20,19,39,1,4.0
151,rav,cin,24,21,45,3,-6.5
152,clt,oti,38,10,48,28,-1.0
153,was,htx,21,23,44,-2,3.0
154,jax,pit,16,20,36,-4,4.0
155,nyg,tam,38,35,73,3,-3.0
156,crd,rai,21,23,44,-2,-4.5
157,sdg,den,22,23,45,-1,-7.5
158,nor,phi,48,7,55,41,-7.0
159,chi,min,25,20,45,5,-2.5
160,ram,kan,54,51,105,3,-3.0
161,det,chi,16,23,39,-7,3.0
162,dal,was,31,23,54,8,-7.0
163,nor,atl,31,17,48,14,-11.5
164,buf,jax,24,21,45,3,3.0
165,car,sea,27,30,57,-3,-3.0
166,cin,cle,20,35,55,-15,1.0
167,nyj,nwe,13,27,40,-14,13.0
168,phi,nyg,25,22,47,3,-4.5
169,rav,rai,34,17,51,17,-13.0
170,tam,sfo,27,9,36,18,-1.5
171,sdg,crd,45,10,55,35,-14.0
172,clt,mia,27,24,51,3,-9.0
173,den,pit,24,17,41,7,3.0
174,min,gnb,24,17,41,7,-3.5
175,htx,oti,34,17,51,17,-3.5
176,dal,nor,13,10,23,3,7.5
177,atl,rav,16,26,42,-10,-2.5
178,mia,buf,21,17,38,4,-3.5
179,tam,car,24,17,41,7,3.5
180,nyg,chi,30,27,57,3,4.0
181,cin,den,10,24,34,-14,4.0
182,htx,cle,29,13,42,16,-5.0
183,jax,clt,6,0,6,6,4.0
184,gnb,crd,17,20,37,-3,-13.5
185,det,ram,16,30,46,-14,10.5
186,rai,kan,33,40,73,-7,14.0
187,oti,nyj,26,22,48,4,-10.5
188,nwe,min,24,10,34,14,-6.0
189,sea,sfo,43,16,59,27,-10.0
190,pit,sdg,30,33,63,-3,-3.0
191,phi,was,28,13,41,15,-5.5
192,oti,jax,30,9,39,21,-5.5
193,gnb,atl,34,20,54,14,-4.0
194,buf,nyj,23,27,50,-4,-4.5
195,cle,car,26,20,46,6,1.0
196,htx,clt,21,24,45,-3,-4.0
197,kan,rav,27,24,51,3,-6.5
198,mia,nwe,34,33,67,1,9.5
199,tam,nor,14,28,42,-14,10.0
200,was,nyg,16,40,56,-24,3.0
201,sdg,cin,26,21,47,5,-17.0
202,sfo,den,20,14,34,6,3.0
203,crd,det,3,17,20,-14,2.5
204,dal,phi,29,23,52,6,-3.5
205,rai,pit,24,21,45,3,10.5
206,chi,ram,15,6,21,9,3.0
207,sea,min,21,7,28,14,-3.0
208,kan,sdg,28,29,57,-1,-3.5
209,nyj,htx,22,29,51,-7,7.0
210,den,cle,16,17,33,-1,-1.0
211,atl,crd,40,14,54,26,-10.0
212,buf,det,14,13,27,1,-2.5
213,chi,gnb,24,17,41,7,-5.5
214,cin,rai,30,16,46,14,-3.0
215,clt,dal,23,0,23,23,-3.0
216,jax,was,13,16,29,-3,-7.5
217,min,mia,41,17,58,24,-7.5
