,team_abbr,points_for,yards,plays,yards_per_plbay,turnovers,fumbles_lost,first_downs,completions,pass_attempts,pass_yards,pass_tds,interceptions,pass_yards_per_attempt,pass_first_downs,rush_attempts,rush_yards,rush_tds,rush_yards_per_attempt,rush_first_downs,penalties,penalty_yards,penalty_first_downs,num_drives,scoring_percentage,turnover_percentage,o_points_for,o_yards,o_plays,o_yards_per_play,o_turnovers,o_fumbles_lost,o_first_downs,o_completions,o_pass_attempts,o_pass_yards,o_pass_tds,o_interceptions,o_pass_yards_per_attempt,o_pass_first_downs,o_rush_attempts,o_rush_yards,o_rush_tds,o_rush_yards_per_attempt,o_rush_first_downs,o_penalties,o_penalty_yards,o_penalty_first_downs,o_num_drives,o_scoring_percentage,o_turnover_percentage,3D_attempts,3D_conversions,3D_conversion_percentage,4D_attempts,4D_conversions,4D_conversion_percentage,red_zone_attempts,red_zone_tds,red_zone_td_percentage,o_3D_attempts,o_3D_conversions,o_3D_conversion_percentage,o_4D_attempts,o_4D_conversions,o_4D_conversion_percentage,o_red_zone_attempts,o_red_zone_tds,o_red_zone_td_percentage
0,crd,449.0,6352.0,1126.0,5.6,15.0,4.0,367.0,415.0,591.0,4276.0,27.0,11.0,6.8,214.0,496.0,2076.0,23.0,4.2,127.0,114.0,990.0,26.0,179.0,44.7,7.8,366.0,5597.0,1028.0,5.4,27.0,14.0,336.0,367.0,561.0,3645.0,30.0,13.0,6.1,192.0,426.0,1952.0,10.0,4.6,109.0,100.0,896.0,35.0,177.0,35.6,15.3,221.0,100.0,45.2,29.0,17.0,58.6,65.0,39.0,60.0,207.0,79.0,38.2,30.0,14.0,46.7,51.0,31.0,60.8
1,atl,313.0,5164.0,1006.0,5.1,26.0,11.0,306.0,377.0,573.0,3713.0,20.0,15.0,6.1,196.0,393.0,1451.0,11.0,3.7,75.0,92.0,753.0,35.0,177.0,32.8,14.7,459.0,6194.0,1114.0,5.6,20.0,8.0,383.0,391.0,577.0,3952.0,31.0,12.0,6.6,214.0,519.0,2242.0,19.0,4.3,143.0,118.0,956.0,26.0,170.0,44.7,11.2,211.0,82.0,38.9,24.0,10.0,41.7,54.0,29.0,53.7,217.0,105.0,48.4,22.0,11.0,50.0,69.0,44.0,63.8
2,rav,387.0,6440.0,1185.0,5.4,26.0,8.0,394.0,396.0,611.0,3961.0,21.0,18.0,5.9,209.0,517.0,2479.0,18.0,4.8,159.0,102.0,852.0,26.0,195.0,38.5,13.3,392.0,6178.0,1033.0,6.0,15.0,6.0,340.0,397.0,621.0,4742.0,31.0,9.0,7.2,232.0,378.0,1436.0,13.0,3.8,81.0,98.0,882.0,27.0,190.0,34.2,7.9,225.0,82.0,36.4,27.0,18.0,66.7,55.0,34.0,61.8,201.0,70.0,34.8,18.0,11.0,61.1,50.0,27.0,54.0
3,buf,483.0,6493.0,1143.0,5.7,22.0,6.0,398.0,415.0,655.0,4284.0,36.0,16.0,6.3,236.0,461.0,2209.0,20.0,4.8,134.0,113.0,980.0,28.0,186.0,45.2,11.3,289.0,4637.0,1014.0,4.6,30.0,11.0,285.0,297.0,530.0,2771.0,12.0,19.0,4.8,138.0,442.0,1866.0,19.0,4.2,108.0,102.0,844.0,39.0,186.0,28.0,14.5,222.0,103.0,46.4,22.0,11.0,50.0,77.0,48.0,62.3,214.0,66.0,30.8,35.0,16.0,45.7,45.0,23.0,51.1
4,car,304.0,5081.0,1106.0,4.6,29.0,8.0,322.0,348.0,599.0,3239.0,14.0,21.0,5.0,174.0,455.0,1842.0,17.0,4.0,118.0,107.0,864.0,30.0,195.0,29.2,14.9,404.0,5201.0,1028.0,5.1,16.0,7.0,311.0,337.0,515.0,3266.0,26.0,9.0,5.9,170.0,474.0,1935.0,16.0,4.1,112.0,108.0,896.0,29.0,197.0,37.6,8.1,235.0,84.0,35.7,34.0,14.0,41.2,47.0,25.0,53.2,217.0,82.0,37.8,21.0,12.0,57.1,52.0,35.0,67.3
5,chi,311.0,5225.0,1075.0,4.9,29.0,9.0,333.0,332.0,542.0,3207.0,16.0,20.0,5.3,180.0,475.0,2018.0,14.0,4.2,119.0,106.0,914.0,34.0,178.0,31.5,15.2,407.0,5384.0,1009.0,5.3,16.0,8.0,321.0,314.0,477.0,3257.0,31.0,8.0,6.2,170.0,483.0,2127.0,14.0,4.4,116.0,93.0,856.0,35.0,178.0,40.4,8.4,216.0,75.0,34.7,36.0,15.0,41.7,48.0,23.0,47.9,211.0,81.0,38.4,24.0,12.0,50.0,54.0,30.0,55.6
6,cin,460.0,6145.0,1046.0,5.9,21.0,7.0,337.0,384.0,555.0,4403.0,36.0,14.0,7.2,208.0,436.0,1742.0,16.0,4.0,96.0,72.0,620.0,33.0,190.0,42.6,10.0,376.0,5964.0,1075.0,5.5,21.0,8.0,339.0,420.0,626.0,4222.0,26.0,13.0,6.3,213.0,407.0,1742.0,15.0,4.3,107.0,116.0,946.0,19.0,189.0,33.9,11.1,207.0,82.0,39.6,20.0,13.0,65.0,52.0,31.0,59.6,221.0,92.0,41.6,18.0,7.0,38.9,53.0,32.0,60.4
7,cle,349.0,5791.0,1054.0,5.5,22.0,8.0,342.0,320.0,520.0,3320.0,21.0,14.0,5.8,177.0,485.0,2471.0,20.0,5.1,138.0,112.0,1035.0,27.0,177.0,32.2,12.4,371.0,5296.0,1056.0,5.0,19.0,6.0,327.0,367.0,576.0,3439.0,29.0,13.0,5.6,184.0,437.0,1857.0,13.0,4.2,108.0,98.0,882.0,35.0,182.0,37.4,9.9,212.0,83.0,39.2,29.0,12.0,41.4,50.0,31.0,62.0,219.0,86.0,39.3,25.0,16.0,64.0,52.0,34.0,65.4
8,dal,530.0,6919.0,1153.0,6.0,20.0,9.0,390.0,444.0,647.0,4800.0,40.0,11.0,7.1,248.0,473.0,2119.0,15.0,4.5,111.0,127.0,1103.0,31.0,192.0,43.8,9.9,358.0,5967.0,1082.0,5.5,34.0,8.0,327.0,364.0,612.0,4049.0,24.0,26.0,6.2,191.0,429.0,1918.0,13.0,4.5,99.0,121.0,973.0,37.0,203.0,32.5,16.7,228.0,99.0,43.4,24.0,14.0,58.3,65.0,41.0,63.1,223.0,76.0,34.1,26.0,16.0,61.5,47.0,28.0,59.6
9,den,335.0,5618.0,1036.0,5.4,18.0,9.0,331.0,354.0,541.0,3593.0,20.0,9.0,6.2,179.0,455.0,2025.0,16.0,4.5,124.0,83.0,711.0,28.0,168.0,36.9,9.5,322.0,5544.0,1039.0,5.3,19.0,6.0,312.0,341.0,562.0,3652.0,22.0,13.0,6.1,192.0,441.0,1892.0,9.0,4.3,99.0,104.0,922.0,21.0,168.0,32.7,10.7,213.0,82.0,38.5,28.0,16.0,57.1,53.0,29.0,54.7,225.0,101.0,44.9,26.0,11.0,42.3,43.0,21.0,48.8
10,det,325.0,5484.0,1056.0,5.2,23.0,9.0,329.0,396.0,593.0,3598.0,23.0,14.0,5.7,193.0,427.0,1886.0,12.0,4.4,104.0,105.0,824.0,32.0,178.0,34.3,12.9,467.0,6456.0,1092.0,5.9,19.0,8.0,372.0,359.0,544.0,4160.0,31.0,11.0,7.2,211.0,518.0,2296.0,19.0,4.4,135.0,87.0,818.0,26.0,180.0,47.8,10.6,213.0,74.0,34.7,41.0,21.0,51.2,45.0,21.0,46.7,204.0,92.0,45.1,14.0,9.0,64.3,60.0,42.0,70.0
11,gnb,450.0,6215.0,1072.0,5.8,13.0,6.0,375.0,402.0,593.0,4315.0,39.0,7.0,6.9,235.0,446.0,1900.0,13.0,4.3,109.0,69.0,678.0,31.0,173.0,44.5,6.4,371.0,5579.0,1037.0,5.4,26.0,8.0,337.0,379.0,603.0,3724.0,31.0,18.0,5.8,194.0,395.0,1855.0,13.0,4.7,120.0,88.0,718.0,23.0,172.0,36.6,14.0,202.0,88.0,43.6,22.0,13.0,59.1,70.0,41.0,58.6,203.0,87.0,42.9,33.0,15.0,45.5,49.0,33.0,67.3
12,htx,280.0,4727.0,1010.0,4.7,22.0,7.0,266.0,354.0,546.0,3305.0,21.0,15.0,5.6,162.0,420.0,1422.0,8.0,3.4,77.0,114.0,978.0,27.0,188.0,26.6,11.2,452.0,6535.0,1101.0,5.9,25.0,8.0,382.0,363.0,546.0,4117.0,27.0,17.0,7.1,218.0,523.0,2418.0,25.0,4.6,135.0,89.0,790.0,29.0,189.0,42.9,12.2,239.0,95.0,39.7,21.0,9.0,42.9,37.0,19.0,51.4,206.0,89.0,43.2,19.0,11.0,57.9,66.0,41.0,62.1
13,clt,451.0,5901.0,1052.0,5.6,19.0,11.0,354.0,324.0,521.0,3361.0,27.0,8.0,6.1,167.0,499.0,2540.0,22.0,5.1,154.0,76.0,688.0,33.0,180.0,43.3,8.9,365.0,5834.0,1050.0,5.6,33.0,14.0,334.0,390.0,597.0,3980.0,32.0,19.0,6.3,213.0,420.0,1854.0,10.0,4.4,101.0,109.0,978.0,20.0,181.0,35.4,17.1,210.0,86.0,41.0,29.0,18.0,62.1,64.0,36.0,56.3,210.0,85.0,40.5,21.0,12.0,57.1,53.0,34.0,64.2
14,jax,253.0,5191.0,1028.0,5.0,29.0,12.0,304.0,361.0,604.0,3436.0,12.0,17.0,5.4,178.0,392.0,1755.0,13.0,4.5,92.0,104.0,856.0,34.0,178.0,26.4,15.7,457.0,6002.0,1068.0,5.6,9.0,2.0,351.0,377.0,543.0,3875.0,24.0,7.0,6.7,198.0,493.0,2127.0,22.0,4.3,124.0,104.0,879.0,29.0,172.0,45.3,5.2,212.0,76.0,35.8,31.0,18.0,58.1,39.0,20.0,51.3,221.0,95.0,43.0,21.0,14.0,66.7,61.0,38.0,62.3
15,kan,480.0,6746.0,1134.0,5.9,25.0,12.0,419.0,448.0,675.0,4791.0,37.0,13.0,6.8,267.0,431.0,1955.0,16.0,4.5,119.0,111.0,925.0,33.0,168.0,48.2,13.7,364.0,6272.0,1060.0,5.9,29.0,14.0,363.0,401.0,610.0,4273.0,27.0,15.0,6.7,209.0,419.0,1999.0,15.0,4.8,121.0,116.0,911.0,33.0,169.0,37.3,16.0,205.0,107.0,52.2,15.0,10.0,66.7,69.0,41.0,59.4,199.0,80.0,40.2,31.0,19.0,61.3,56.0,32.0,57.1
16,rai,374.0,6184.0,1082.0,5.7,24.0,10.0,349.0,429.0,628.0,4567.0,23.0,14.0,6.8,217.0,414.0,1617.0,14.0,3.9,95.0,124.0,1104.0,37.0,188.0,41.0,12.8,439.0,5732.0,1103.0,5.2,15.0,9.0,349.0,400.0,606.0,3789.0,29.0,6.0,5.9,202.0,462.0,1943.0,18.0,4.2,109.0,99.0,1021.0,38.0,178.0,41.6,7.3,206.0,77.0,37.4,19.0,12.0,63.2,60.0,31.0,51.7,230.0,91.0,39.6,29.0,21.0,72.4,43.0,35.0,81.4
17,sdg,474.0,6634.0,1128.0,5.9,22.0,7.0,401.0,443.0,674.0,4800.0,38.0,15.0,6.8,256.0,423.0,1834.0,18.0,4.3,112.0,116.0,1033.0,33.0,175.0,45.7,12.0,459.0,6122.0,1103.0,5.6,21.0,10.0,383.0,357.0,559.0,3761.0,27.0,11.0,6.3,199.0,509.0,2361.0,22.0,4.6,144.0,99.0,835.0,40.0,179.0,45.3,11.2,221.0,100.0,45.2,34.0,22.0,64.7,75.0,48.0,64.0,216.0,107.0,49.5,22.0,7.0,31.8,67.0,43.0,64.2
18,ram,460.0,6325.0,1058.0,6.0,23.0,5.0,355.0,406.0,607.0,4642.0,41.0,18.0,7.3,233.0,420.0,1683.0,10.0,4.0,99.0,76.0,637.0,23.0,181.0,45.9,12.2,372.0,5863.0,1118.0,5.2,25.0,6.0,347.0,416.0,625.0,4109.0,17.0,19.0,6.1,214.0,443.0,1754.0,18.0,4.0,111.0,88.0,688.0,22.0,181.0,35.9,13.3,205.0,90.0,43.9,19.0,10.0,52.6,70.0,42.0,60.0,223.0,92.0,41.3,32.0,17.0,53.1,56.0,29.0,51.8
19,mia,341.0,5219.0,1097.0,4.8,26.0,12.0,325.0,404.0,615.0,3651.0,21.0,14.0,5.6,206.0,442.0,1568.0,12.0,3.5,87.0,105.0,825.0,32.0,186.0,30.1,12.4,373.0,5738.0,1081.0,5.3,26.0,12.0,337.0,373.0,608.0,3871.0,23.0,14.0,5.9,199.0,425.0,1867.0,16.0,4.4,106.0,109.0,991.0,32.0,193.0,36.3,13.0,233.0,95.0,40.8,22.0,12.0,54.5,49.0,30.0,61.2,231.0,95.0,41.1,18.0,11.0,61.1,57.0,30.0,52.6
20,min,425.0,6168.0,1083.0,5.7,13.0,6.0,332.0,398.0,604.0,4238.0,34.0,7.0,6.7,202.0,449.0,1930.0,10.0,4.3,103.0,111.0,1043.0,27.0,196.0,39.3,6.6,426.0,6522.0,1152.0,5.7,24.0,8.0,391.0,401.0,626.0,4300.0,29.0,16.0,6.4,224.0,475.0,2222.0,15.0,4.7,131.0,93.0,786.0,36.0,194.0,40.2,11.9,228.0,83.0,36.4,22.0,12.0,54.5,53.0,33.0,62.3,214.0,78.0,36.4,30.0,15.0,50.0,59.0,33.0,55.9
21,nwe,462.0,6008.0,1052.0,5.7,23.0,10.0,362.0,364.0,535.0,3857.0,24.0,13.0,6.9,187.0,489.0,2151.0,24.0,4.4,139.0,95.0,854.0,36.0,175.0,48.0,12.6,303.0,5284.0,1038.0,5.1,30.0,7.0,308.0,319.0,538.0,3181.0,21.0,23.0,5.5,176.0,464.0,2103.0,9.0,4.5,111.0,100.0,831.0,21.0,177.0,29.4,16.9,209.0,91.0,43.5,17.0,11.0,64.7,63.0,39.0,61.9,211.0,77.0,36.5,32.0,17.0,53.1,48.0,23.0,47.9
22,nor,364.0,5177.0,1051.0,4.9,18.0,5.0,307.0,293.0,504.0,3186.0,29.0,13.0,5.9,165.0,510.0,1991.0,12.0,3.9,113.0,98.0,811.0,29.0,196.0,33.7,8.7,335.0,5410.0,1064.0,5.1,25.0,7.0,304.0,369.0,592.0,3821.0,20.0,18.0,6.0,185.0,426.0,1589.0,12.0,3.7,84.0,89.0,761.0,35.0,195.0,32.3,12.8,220.0,78.0,35.5,21.0,11.0,52.4,56.0,33.0,58.9,240.0,89.0,37.1,21.0,9.0,42.9,46.0,20.0,43.5
23,nyg,258.0,4884.0,1050.0,4.7,30.0,10.0,299.0,351.0,593.0,3196.0,15.0,20.0,5.1,171.0,419.0,1688.0,8.0,4.0,90.0,88.0,674.0,38.0,189.0,27.5,15.9,416.0,6032.0,1137.0,5.3,22.0,7.0,365.0,402.0,611.0,3839.0,27.0,15.0,6.0,216.0,492.0,2193.0,15.0,4.5,126.0,107.0,814.0,23.0,184.0,41.3,12.0,230.0,84.0,36.5,30.0,13.0,43.3,38.0,17.0,44.7,226.0,90.0,39.8,23.0,15.0,65.2,71.0,37.0,52.1
24,nyj,310.0,5208.0,1036.0,5.0,27.0,7.0,310.0,357.0,603.0,3541.0,20.0,20.0,5.4,195.0,380.0,1667.0,14.0,4.4,87.0,103.0,860.0,28.0,187.0,29.4,14.4,504.0,6760.0,1145.0,5.9,14.0,7.0,401.0,401.0,587.0,4409.0,28.0,7.0,7.1,234.0,525.0,2351.0,28.0,4.5,129.0,84.0,814.0,38.0,190.0,48.9,7.4,212.0,77.0,36.3,29.0,14.0,48.3,51.0,28.0,54.9,223.0,99.0,44.4,21.0,13.0,61.9,74.0,45.0,60.8
25,phi,444.0,6119.0,1075.0,5.7,16.0,6.0,352.0,307.0,494.0,3404.0,20.0,10.0,6.5,167.0,550.0,2715.0,25.0,4.9,163.0,107.0,842.0,22.0,173.0,43.4,9.2,385.0,5590.0,1076.0,5.2,16.0,4.0,358.0,409.0,589.0,3756.0,28.0,12.0,6.1,208.0,458.0,1834.0,18.0,4.0,115.0,92.0,824.0,35.0,180.0,37.2,8.9,221.0,101.0,45.7,24.0,11.0,45.8,61.0,38.0,62.3,217.0,93.0,42.9,29.0,14.0,48.3,60.0,40.0,66.7
26,pit,343.0,5361.0,1113.0,4.8,20.0,9.0,323.0,425.0,664.0,3778.0,23.0,11.0,5.4,204.0,411.0,1583.0,10.0,3.9,85.0,106.0,831.0,34.0,199.0,34.7,9.5,398.0,6139.0,1116.0,5.5,22.0,9.0,354.0,355.0,563.0,3656.0,24.0,13.0,5.9,186.0,498.0,2483.0,17.0,5.0,144.0,123.0,1017.0,24.0,194.0,38.7,10.8,239.0,93.0,38.9,21.0,10.0,47.6,50.0,27.0,54.0,232.0,86.0,37.1,24.0,13.0,54.2,59.0,30.0,50.8
27,sfo,427.0,6387.0,1046.0,6.1,24.0,10.0,361.0,343.0,514.0,4221.0,26.0,14.0,7.7,200.0,499.0,2166.0,22.0,4.3,130.0,102.0,1066.0,31.0,182.0,41.2,11.5,365.0,5270.0,1032.0,5.1,20.0,11.0,318.0,372.0,545.0,3510.0,25.0,9.0,5.9,180.0,439.0,1760.0,17.0,4.0,97.0,94.0,793.0,41.0,183.0,34.4,9.3,199.0,80.0,40.2,20.0,10.0,50.0,54.0,36.0,66.7,220.0,88.0,40.0,25.0,11.0,44.0,60.0,34.0,56.7
28,sea,395.0,5506.0,954.0,5.8,13.0,6.0,302.0,324.0,495.0,3432.0,30.0,7.0,6.3,166.0,413.0,2074.0,18.0,5.0,106.0,97.0,803.0,30.0,187.0,34.8,7.0,366.0,6445.0,1201.0,5.4,18.0,7.0,400.0,443.0,658.0,4513.0,24.0,11.0,6.5,240.0,509.0,1932.0,16.0,3.8,124.0,96.0,919.0,36.0,189.0,35.4,8.5,193.0,72.0,37.3,11.0,4.0,36.4,48.0,31.0,64.6,224.0,88.0,39.3,31.0,13.0,41.9,61.0,31.0,50.8
29,tam,511.0,6901.0,1139.0,6.1,19.0,7.0,404.0,492.0,731.0,5229.0,43.0,12.0,6.9,273.0,385.0,1672.0,18.0,4.3,106.0,97.0,874.0,25.0,194.0,44.3,9.8,353.0,5635.0,1093.0,5.2,29.0,12.0,344.0,445.0,680.0,4062.0,26.0,17.0,5.6,214.0,366.0,1573.0,11.0,4.3,94.0,79.0,635.0,36.0,191.0,33.5,14.7,223.0,105.0,47.1,16.0,9.0,56.3,68.0,45.0,66.2,226.0,87.0,38.5,28.0,13.0,46.4,59.0,31.0,52.5
30,oti,419.0,5822.0,1133.0,5.1,25.0,11.0,362.0,359.0,535.0,3418.0,22.0,14.0,5.9,194.0,551.0,2404.0,23.0,4.4,134.0,103.0,973.0,34.0,185.0,38.9,13.0,354.0,5607.0,1039.0,5.4,22.0,6.0,331.0,395.0,628.0,4169.0,24.0,16.0,6.2,204.0,368.0,1438.0,14.0,3.9,90.0,118.0,1070.0,37.0,186.0,37.1,10.8,236.0,103.0,43.6,24.0,15.0,62.5,61.0,39.0,63.9,210.0,77.0,36.7,24.0,14.0,58.3,58.0,30.0,51.7
