,home_team,away_team,ht_points_for,ht_yards,ht_plays,ht_yards_per_play,ht_turnovers,ht_fumbles_lost,ht_first_downs,ht_completions,ht_pass_attempts,ht_pass_yards,ht_pass_tds,ht_interceptions,ht_pass_yards_per_attempt,ht_pass_first_downs,ht_rush_attempts,ht_rush_yards,ht_rush_tds,ht_rush_yards_per_attempt,ht_rush_first_downs,ht_penalties,ht_penalty_yards,ht_penalty_first_downs,ht_num_drives,ht_scoring_percentage,ht_turnover_percentage,at_points_for,at_yards,at_plays,at_yards_per_play,at_turnovers,at_fumbles_lost,at_first_downs,at_completions,at_pass_attempts,at_pass_yards,at_pass_tds,at_interceptions,at_pass_yards_per_attempt,at_pass_first_downs,at_rush_attempts,at_rush_yards,at_rush_tds,at_rush_yards_per_attempt,at_rush_first_downs,at_penalties,at_penalty_yards,at_penalty_first_downs,at_num_drives,at_scoring_percentage,at_turnover_percentage,ht_3D_attempts,ht_3D_conversions,ht_3D_conversion_percentage,ht_4D_attempts,ht_4D_conversions,ht_4D_conversion_percentage,ht_red_zone_attempts,ht_red_zone_tds,ht_red_zone_td_percentage,at_3D_attempts,at_3D_conversions,at_3D_conversion_percentage,at_4D_attempts,at_4D_conversions,at_4D_conversion_percentage,at_red_zone_attempts,at_red_zone_tds,at_red_zone_td_percentage
0,was,chi,113.0,1382.0,253.5,5.449999999999999,5.0,1.5,85.0,91.5,133.5,938.0,7.0,3.5,6.6000000000000005,43.0,107.0,444.0,4.5,4.199999999999999,31.5,25.5,197.5,10.5,43.0,42.2,11.350000000000001,97.5,1315.5,247.0,5.3,6.5,3.0,75.0,81.5,127.0,832.5,6.5,3.5,5.85,42.0,105.0,483.0,3.0,4.6,28.0,31.5,259.0,5.0,41.5,42.05,15.7,52.0,24.5,46.099999999999994,3.5,2.5,70.85,15.0,10.5,70.0,51.5,20.0,38.8,6.5,3.5,54.8,10.0,5.0,52.1
1,buf,jax,110.5,1448.0,254.5,5.65,7.0,3.0,80.5,96.5,138.0,982.5,7.5,4.0,6.7,49.0,107.5,465.5,4.0,4.25,28.5,23.0,194.5,3.0,43.0,42.2,15.05,67.5,1234.5,233.5,5.35,8.0,3.0,68.5,86.5,128.0,797.5,3.5,5.0,5.7,42.5,93.5,437.0,2.5,4.95,21.0,14.5,141.0,5.0,44.5,27.85,18.4,51.5,23.5,45.7,6.5,3.0,48.75,16.5,9.5,55.650000000000006,45.0,14.0,31.1,6.5,1.5,22.5,10.0,4.5,44.95
2,det,car,104.0,1398.5,254.0,5.5,5.0,1.5,82.0,81.5,120.5,853.0,5.0,3.5,6.55,45.0,125.0,545.5,6.0,4.35,31.0,25.0,235.0,6.0,46.0,38.05,10.85,75.0,1126.0,259.0,4.35,4.5,2.0,76.5,99.0,157.5,814.0,4.5,2.5,4.8,45.5,88.0,312.0,2.0,3.5,20.5,27.0,211.5,10.5,44.5,31.4,10.15,52.0,17.5,33.15,5.5,3.0,58.35,15.0,8.5,56.65,55.5,20.5,36.65,5.5,2.5,46.45,11.0,6.0,52.95
3,atl,htx,70.5,1192.0,243.5,4.9,5.0,2.0,72.0,81.5,122.0,703.0,2.5,3.0,5.25,37.0,110.0,489.0,5.0,4.45,29.5,24.0,221.0,5.5,43.5,31.099999999999998,11.5,86.5,1318.5,261.5,5.0,3.0,1.5,76.0,87.0,139.0,915.0,6.5,1.5,6.15,48.5,114.5,403.5,1.0,3.5,19.5,28.5,248.0,8.0,43.5,38.0,6.9,52.5,21.5,40.8,4.0,1.5,25.0,12.0,7.0,58.0,57.5,24.0,40.849999999999994,6.0,2.0,31.45,12.0,4.5,37.85
4,nwe,nor,65.5,1249.0,263.0,4.75,6.5,2.0,73.0,91.0,149.5,855.5,5.0,4.5,5.449999999999999,43.5,105.0,393.5,1.0,3.75,22.5,29.0,224.5,7.0,47.0,28.9,13.8,79.5,1164.5,255.5,4.550000000000001,4.0,2.0,71.0,91.5,139.0,787.5,2.5,2.0,5.2,42.5,104.0,377.0,3.0,3.65,22.0,21.5,189.5,6.5,45.0,32.1,7.949999999999999,60.5,23.0,38.0,6.0,2.0,37.5,10.5,5.5,54.35,56.0,20.5,36.45,3.5,1.5,45.85,11.0,4.5,41.65
5,mia,nyg,136.0,1705.0,249.5,6.8,2.5,1.0,91.5,86.5,128.5,1084.0,7.0,1.5,8.05,52.0,116.5,621.0,8.5,5.35,31.5,26.5,237.0,8.0,44.0,48.7,5.3,82.5,1253.0,257.0,4.85,6.5,2.5,80.0,95.0,136.0,818.0,4.5,4.0,5.4,41.0,104.5,435.0,4.5,4.15,31.0,24.5,205.0,8.0,45.0,32.0,14.55,44.5,19.0,42.6,5.5,1.5,26.8,17.0,11.5,67.05,54.0,22.5,41.85,7.0,3.5,42.5,13.0,8.5,63.099999999999994
6,clt,oti,83.5,1267.0,257.0,4.9,4.0,3.0,73.0,92.0,139.0,895.5,5.0,1.0,5.9,45.0,106.0,371.5,3.0,3.45,22.0,23.5,181.0,6.0,45.5,34.45,7.65,85.5,1341.0,263.5,5.050000000000001,5.0,2.0,79.0,85.5,129.5,865.5,4.0,3.0,5.9,42.0,119.0,475.5,4.5,4.05,28.0,21.0,176.0,9.0,47.5,36.05,10.4,54.0,18.0,33.3,6.5,3.0,52.5,11.5,6.5,57.2,56.0,21.0,37.35,5.0,3.0,61.900000000000006,12.5,6.5,52.6
7,pit,rav,60.0,1047.5,254.0,4.199999999999999,5.0,1.0,61.0,90.5,148.5,705.0,3.5,4.0,4.45,35.0,92.5,342.5,0.0,3.7,19.0,23.0,172.5,7.0,48.0,25.0,10.4,99.5,1476.0,269.0,5.5,6.5,4.0,82.5,82.0,124.5,876.5,6.0,2.5,6.4,43.0,132.5,599.5,5.0,4.550000000000001,32.5,31.0,274.0,7.0,48.0,36.4,13.45,64.5,25.0,38.5,5.5,2.0,33.95,7.5,2.5,35.0,55.5,24.0,43.15,4.0,1.5,41.65,13.0,9.5,71.8
8,crd,cin,91.0,1404.0,247.0,5.7,3.5,1.5,82.5,82.0,122.0,803.0,5.0,2.0,6.1,42.5,116.0,601.0,3.5,5.199999999999999,31.5,27.0,228.5,8.5,40.5,44.55,8.4,75.5,1221.0,248.0,4.9,4.0,1.5,80.5,88.5,140.5,817.0,3.5,2.5,5.550000000000001,44.5,97.5,404.0,4.0,4.050000000000001,27.5,27.5,206.0,8.5,41.5,34.45,9.8,50.5,21.5,42.599999999999994,3.0,2.0,75.0,12.5,7.0,56.65,50.5,21.0,42.5,3.5,2.0,58.35,13.0,7.5,55.0
9,ram,phi,94.0,1433.0,268.5,5.35,6.5,3.0,89.0,106.5,165.0,1099.0,6.0,3.5,6.3,60.5,93.5,334.0,4.0,3.5,21.0,22.5,173.5,7.5,43.0,40.7,13.95,101.5,1375.5,256.5,5.35,3.0,1.0,81.5,79.0,127.5,823.0,4.0,2.0,6.0,39.5,120.0,552.5,5.0,4.550000000000001,32.5,27.0,218.0,9.5,44.0,45.3,6.800000000000001,54.5,24.5,45.05,6.0,4.0,68.55,14.0,9.5,67.4,50.0,18.0,35.15,5.0,3.5,69.05000000000001,11.5,6.5,58.1
