,home_team,away_team,ht_pts_diff,ht_vegas_line
0,den,car,1,3.0
1,rav,buf,6,-3.0
2,jax,gnb,-4,3.5
3,atl,tam,-7,-2.5
4,htx,chi,9,-5.5
5,nyj,cin,-1,-1.0
6,phi,cle,19,-4.0
7,kan,sdg,6,-6.5
8,oti,min,-9,2.5
9,nor,rai,-1,-2.5
10,sea,mia,2,-10.5
11,clt,det,-4,-2.5
12,dal,nyg,-1,-1.0
13,crd,nwe,-2,-9.0
14,was,pit,-22,2.5
15,sfo,ram,28,2.5
16,buf,nyj,-6,-1.0
17,pit,cin,8,-3.0
18,cle,rav,-5,4.0
19,det,oti,-1,-6.0
20,htx,kan,7,1.0
21,nwe,mia,7,-5.5
22,car,sfo,19,-12.0
23,was,dal,-4,-3.5
24,nyg,nor,3,-3.5
25,crd,tam,33,-7.5
26,ram,sea,6,5.5
27,rai,atl,-7,-4.0
28,den,clt,14,-6.0
29,sdg,jax,24,-3.0
30,min,gnb,3,1.5
31,chi,phi,-15,-3.0
32,nwe,htx,27,0.0
33,buf,crd,15,5.0
34,car,min,-12,-6.0
35,cin,den,-12,-3.5
36,mia,cle,6,-10.0
37,gnb,det,7,-6.0
38,jax,rav,-2,2.5
39,nyg,was,-2,-3.5
40,oti,rai,-7,1.5
41,tam,ram,-5,-3.5
42,sea,sfo,19,-10.5
43,clt,sdg,4,-1.5
44,phi,pit,31,3.5
45,kan,nyj,21,-3.0
46,dal,chi,14,-6.5
47,nor,atl,-13,-2.5
48,cin,mia,15,-7.5
49,jax,clt,3,1.0
50,chi,det,3,3.0
51,nwe,buf,-16,-3.5
52,htx,oti,7,-4.0
53,rav,rai,-1,-3.5
54,nyj,sea,-10,1.0
55,atl,car,15,2.5
56,was,cle,11,-7.5
57,tam,den,-20,3.5
58,crd,ram,-4,-10.0
59,sfo,dal,-7,1.0
60,sdg,nor,-1,-3.5
61,pit,kan,29,-3.0
62,min,nyg,14,-3.5
63,sfo,crd,-12,3.5
64,clt,chi,6,-4.0
65,cle,nwe,-20,10.0
66,det,phi,1,3.5
67,mia,oti,-13,-2.5
68,pit,nyj,18,-10.0
69,rav,was,-6,-4.0
70,min,htx,18,-6.0
71,den,atl,-7,-3.5
72,ram,buf,-11,2.5
73,dal,cin,14,2.5
74,rai,sdg,3,-3.5
75,gnb,nyg,7,-7.0
76,car,tam,-3,-6.0
77,sdg,den,8,3.0
78,buf,sfo,29,-7.5
79,chi,jax,-1,-2.5
80,nwe,cin,18,-7.5
81,oti,cle,2,-7.5
82,det,ram,3,-2.5
83,mia,pit,15,7.5
84,nyg,rav,4,-3.5
85,was,phi,7,3.0
86,nor,car,3,2.5
87,rai,kan,-16,1.0
88,gnb,dal,-14,-5.0
89,sea,atl,2,-7.0
90,htx,clt,3,-3.0
91,crd,nyj,25,-7.0
92,gnb,chi,16,-7.5
93,ram,nyg,-7,2.5
94,jax,rai,-17,-2.0
95,phi,min,11,3.0
96,mia,buf,3,2.5
97,cin,cle,14,-11.0
98,oti,clt,-8,-4.0
99,det,was,3,1.0
100,kan,nor,6,-7.0
101,nyj,rav,8,-2.5
102,atl,sdg,-3,-4.5
103,sfo,tam,-17,-1.0
104,pit,nwe,-11,7.5
105,crd,sea,0,-2.5
106,den,htx,18,-8.5
107,oti,jax,14,-3.0
108,cin,was,0,-3.0
109,car,crd,10,-2.5
110,buf,nwe,-16,5.5
111,cle,nyj,-3,2.5
112,clt,kan,-16,3.0
113,tam,rai,-6,-1.0
114,nor,sea,5,1.0
115,htx,det,7,-1.0
116,den,sdg,8,-3.5
117,atl,gnb,1,-3.0
118,dal,phi,6,-5.0
119,chi,min,10,4.5
120,tam,atl,-15,4.5
121,kan,jax,5,-7.0
122,mia,nyj,4,-3.5
123,nyg,phi,5,-3.0
124,rav,pit,7,3.5
125,cle,dal,-25,7.0
126,min,det,-6,-4.5
127,ram,car,-3,3.0
128,sfo,nor,-18,5.0
129,gnb,clt,-5,-7.5
130,sdg,oti,8,-3.5
131,rai,den,10,-1.0
132,sea,buf,6,-5.5
133,rav,cle,21,-7.5
134,car,kan,-3,-3.0
135,tam,chi,26,2.5
136,oti,gnb,22,3.0
137,jax,htx,-3,-3.0
138,was,min,6,-2.5
139,phi,atl,9,-2.0
140,nor,den,-2,-3.0
141,nyj,ram,-3,1.0
142,sdg,mia,-7,-4.0
143,crd,sfo,3,-13.5
144,pit,dal,-5,-3.0
145,nwe,sea,-7,-7.5
146,nyg,cin,1,1.0
147,car,nor,3,-3.5
148,cin,buf,-4,-2.5
149,nyg,chi,6,-7.0
150,clt,oti,7,-3.0
151,min,crd,6,-2.0
152,dal,rav,10,-7.0
153,det,jax,7,-5.5
154,kan,tam,-2,-7.0
155,cle,pit,-15,8.0
156,ram,mia,-4,-1.0
157,sfo,nwe,-13,10.5
158,sea,phi,11,-6.5
159,was,gnb,18,-3.0
160,rai,htx,7,-6.5
161,det,min,3,-1.5
162,dal,was,5,-5.5
163,clt,pit,-21,8.0
164,atl,crd,19,-4.0
165,buf,jax,7,-8.5
166,chi,oti,-6,6.5
167,rav,cin,5,-3.5
168,htx,sdg,-8,2.5
169,mia,sfo,7,-7.5
170,nor,ram,28,-8.0
171,cle,nyg,-14,6.5
172,tam,sea,9,5.0
173,rai,car,3,-3.5
174,nyj,nwe,-5,8.5
175,den,kan,-3,-3.5
176,phi,gnb,-14,-4.0
177,min,dal,-2,3.0
178,atl,kan,-1,-5.0
179,chi,sfo,20,0.0
180,cin,phi,18,-2.0
181,jax,den,-10,3.5
182,nor,det,-15,-6.5
183,gnb,htx,8,-6.5
184,rav,mia,32,-3.5
185,nwe,ram,16,-13.0
186,rai,buf,14,-3.0
187,crd,was,8,-2.5
188,pit,nyg,10,-6.5
189,sdg,tam,-7,-3.5
190,sea,car,33,-8.0
191,nyj,clt,-31,-1.0
192,kan,rai,8,-3.5
193,buf,pit,-7,1.0
