,team_abbr,points_for,yards,plays,yards_per_plbay,turnovers,fumbles_lost,first_downs,completions,pass_attempts,pass_yards,pass_tds,interceptions,pass_yards_per_attempt,pass_first_downs,rush_attempts,rush_yards,rush_tds,rush_yards_per_attempt,rush_first_downs,penalties,penalty_yards,penalty_first_downs,num_drives,scoring_percentage,turnover_percentage,o_points_for,o_yards,o_plays,o_yards_per_play,o_turnovers,o_fumbles_lost,o_first_downs,o_completions,o_pass_attempts,o_pass_yards,o_pass_tds,o_interceptions,o_pass_yards_per_attempt,o_pass_first_downs,o_rush_attempts,o_rush_yards,o_rush_tds,o_rush_yards_per_attempt,o_rush_first_downs,o_penalties,o_penalty_yards,o_penalty_first_downs,o_num_drives,o_scoring_percentage,o_turnover_percentage,3D_attempts,3D_conversions,3D_conversion_percentage,4D_attempts,4D_conversions,4D_conversion_percentage,red_zone_attempts,red_zone_tds,red_zone_td_percentage,o_3D_attempts,o_3D_conversions,o_3D_conversion_percentage,o_4D_attempts,o_4D_conversions,o_4D_conversion_percentage,o_red_zone_attempts,o_red_zone_tds,o_red_zone_td_percentage
0,crd,250.0,4209.0,1018.0,4.1,34.0,13.0,246.0,337.0,608.0,3005.0,11.0,21.0,4.5,168.0,352.0,1204.0,10.0,3.4,58.0,102.0,857.0,20.0,209.0,22.0,14.8,357.0,5405.0,1041.0,5.2,33.0,11.0,288.0,270.0,497.0,3213.0,20.0,22.0,6.0,160.0,506.0,2192.0,12.0,4.3,107.0,100.0,810.0,21.0,211.0,27.0,14.2,230.0,58.0,25.2,24.0,10.0,41.7,40.0,16.0,40.0,222.0,73.0,32.9,9.0,4.0,44.4,45.0,20.0,44.4
1,atl,419.0,5906.0,1021.0,5.8,18.0,4.0,343.0,422.0,615.0,4509.0,32.0,14.0,7.0,247.0,378.0,1397.0,12.0,3.7,70.0,55.0,415.0,26.0,175.0,44.0,10.3,299.0,5849.0,991.0,5.9,31.0,11.0,298.0,337.0,551.0,3878.0,14.0,20.0,6.7,189.0,411.0,1971.0,16.0,4.8,99.0,83.0,641.0,10.0,180.0,31.7,17.2,204.0,92.0,45.1,8.0,2.0,25.0,63.0,37.0,58.7,200.0,81.0,40.5,13.0,6.0,46.2,42.0,19.0,45.2
2,rav,398.0,5640.0,1042.0,5.4,16.0,5.0,314.0,334.0,560.0,3739.0,22.0,11.0,6.3,182.0,444.0,1901.0,17.0,4.3,98.0,121.0,1127.0,34.0,193.0,35.8,7.8,344.0,5615.0,1086.0,5.2,25.0,12.0,326.0,335.0,557.0,3650.0,15.0,13.0,6.1,187.0,492.0,1965.0,15.0,4.0,105.0,107.0,929.0,34.0,192.0,34.9,12.0,217.0,80.0,36.9,14.0,6.0,42.9,49.0,28.0,57.1,232.0,83.0,35.8,12.0,6.0,50.0,53.0,23.0,43.4
3,buf,344.0,5486.0,983.0,5.6,34.0,17.0,301.0,309.0,511.0,3269.0,24.0,17.0,6.0,176.0,442.0,2217.0,12.0,5.0,103.0,104.0,871.0,22.0,190.0,30.0,17.4,435.0,5806.0,1042.0,5.6,21.0,9.0,349.0,306.0,536.0,3473.0,25.0,12.0,6.1,182.0,470.0,2333.0,23.0,5.0,136.0,80.0,693.0,31.0,186.0,37.1,10.8,198.0,77.0,38.9,8.0,5.0,62.5,48.0,24.0,50.0,209.0,92.0,44.0,12.0,6.0,50.0,55.0,38.0,69.1
4,car,357.0,5771.0,988.0,5.8,22.0,10.0,328.0,284.0,490.0,3683.0,19.0,12.0,7.0,171.0,462.0,2088.0,21.0,4.5,123.0,98.0,835.0,34.0,175.0,32.6,10.3,363.0,5329.0,1010.0,5.3,23.0,12.0,326.0,371.0,555.0,3568.0,22.0,11.0,6.0,196.0,416.0,1761.0,11.0,4.2,98.0,86.0,711.0,32.0,176.0,38.6,11.9,204.0,88.0,43.1,9.0,3.0,33.3,46.0,27.0,58.7,202.0,73.0,36.1,19.0,10.0,52.6,50.0,27.0,54.0
5,chi,375.0,4969.0,999.0,5.0,24.0,8.0,292.0,287.0,485.0,2999.0,21.0,16.0,5.7,163.0,470.0,1970.0,11.0,4.2,99.0,102.0,811.0,30.0,195.0,30.3,11.8,277.0,5050.0,1021.0,4.9,44.0,20.0,286.0,350.0,592.0,3423.0,19.0,24.0,5.4,186.0,388.0,1627.0,6.0,4.2,75.0,78.0,704.0,25.0,195.0,25.1,20.5,219.0,80.0,36.5,13.0,5.0,38.5,46.0,23.0,50.0,220.0,78.0,35.5,16.0,10.0,62.5,41.0,21.0,51.2
6,cin,391.0,5323.0,1016.0,5.2,26.0,10.0,292.0,335.0,540.0,3578.0,28.0,16.0,6.1,173.0,430.0,1745.0,11.0,4.1,95.0,99.0,857.0,24.0,195.0,35.4,12.8,320.0,5115.0,1034.0,4.9,30.0,16.0,307.0,346.0,560.0,3400.0,16.0,14.0,5.6,183.0,423.0,1715.0,13.0,4.1,99.0,90.0,779.0,25.0,191.0,29.3,14.1,217.0,74.0,34.1,16.0,11.0,68.8,57.0,31.0,54.4,219.0,79.0,36.1,12.0,5.0,41.7,41.0,21.0,51.2
7,cle,302.0,5028.0,998.0,5.0,26.0,8.0,279.0,328.0,566.0,3435.0,16.0,18.0,5.7,185.0,396.0,1593.0,12.0,4.0,71.0,113.0,1005.0,23.0,191.0,29.8,12.0,368.0,5821.0,1095.0,5.3,29.0,12.0,345.0,378.0,600.0,3923.0,27.0,17.0,6.1,203.0,457.0,1898.0,14.0,4.2,104.0,120.0,1008.0,38.0,199.0,30.7,14.6,218.0,67.0,30.7,16.0,7.0,43.8,39.0,17.0,43.6,223.0,85.0,38.1,11.0,7.0,63.6,53.0,30.0,56.6
8,dal,376.0,5994.0,1049.0,5.7,29.0,10.0,338.0,434.0,658.0,4729.0,29.0,19.0,6.8,237.0,355.0,1265.0,8.0,3.6,76.0,117.0,853.0,25.0,180.0,36.7,15.0,400.0,5687.0,986.0,5.8,16.0,9.0,317.0,320.0,511.0,3684.0,22.0,7.0,6.8,195.0,441.0,2003.0,17.0,4.5,92.0,89.0,726.0,30.0,175.0,38.9,8.0,212.0,93.0,43.9,11.0,8.0,72.7,49.0,25.0,51.0,202.0,81.0,40.1,11.0,6.0,54.5,55.0,30.0,54.5
9,den,481.0,6366.0,1090.0,5.8,25.0,14.0,380.0,402.0,588.0,4534.0,37.0,11.0,7.4,232.0,481.0,1832.0,12.0,3.8,112.0,100.0,805.0,36.0,188.0,39.9,12.2,289.0,4652.0,1015.0,4.6,24.0,8.0,287.0,321.0,559.0,3194.0,25.0,16.0,5.2,183.0,404.0,1458.0,5.0,3.6,73.0,123.0,951.0,31.0,193.0,26.9,11.9,213.0,96.0,45.1,5.0,3.0,60.0,66.0,39.0,59.1,216.0,66.0,30.6,18.0,7.0,38.9,41.0,24.0,58.5
